d,tp,b_mla,QKV(us),ATTN(us),O(us),Shared(us),Up_Gemm(us),Down_Gemm(us),Dispatch_AlltoAll(us),Combine_AlltoAll(us),AllReduce(us),t_{dense_layer}(us),t_{moe_layer}(us),TPOT(ms),Single-Device Throughput(Tokens/s)
16,1,8,44,110,66,31,278,145,5,5,0,1348,1348,82,195
16,1,16,44,208,67,31,278,145,5,5,0,1546,1546,94,340
16,1,32,43,362,68,31,278,145,5,10,0,1854,1854,113,566
24,1,8,44,110,66,31,176,102,5,5,0,1058,1058,64,250
24,1,16,44,208,67,31,176,102,5,10,0,1256,1256,76,421
24,1,32,43,362,68,31,176,102,10,21,0,1564,1564,95,673
24,1,64,47,745,70,31,176,102,21,43,0,2342,2342,142,901
32,1,8,44,110,66,31,141,76,5,8,0,936,936,57,280
32,1,16,44,208,67,31,142,76,8,16,0,1136,1136,69,463
32,1,32,43,362,68,31,142,76,16,32,0,1444,1444,88,727
32,1,64,47,745,70,31,142,77,32,65,0,2224,2224,135,948
48,1,8,44,110,66,31,96,52,6,13,0,798,798,48,333
48,1,16,44,208,67,31,96,52,13,27,0,996,996,60,533
48,1,32,43,362,68,31,96,52,27,54,0,1304,1304,79,810
48,1,64,47,745,70,31,178,92,54,109,0,2326,2326,141,907
48,1,128,75,1481,128,50,336,190,109,219,0,4520,4520,275,930
72,1,8,44,110,66,31,65,36,10,21,0,704,704,42,380
72,1,16,44,208,67,31,65,36,21,43,0,902,902,55,581
72,1,32,43,362,68,31,65,36,43,87,0,1210,1210,73,876
72,1,64,47,745,70,31,120,66,87,175,0,2158,2176,132,969
72,1,128,75,1481,128,50,235,128,175,350,0,4194,4294,261,980
96,1,8,44,110,66,31,50,29,10,21,0,660,660,40,400
96,1,16,44,208,67,31,50,29,21,43,0,858,858,52,615
96,1,32,43,362,68,31,88,50,43,87,0,1284,1284,78,820
96,1,64,47,745,70,31,178,91,87,175,0,2324,2342,142,901
96,1,128,75,1481,128,50,336,190,175,350,0,4520,4620,281,911
144,1,8,44,110,66,31,34,20,10,21,0,610,610,37,432
144,1,16,44,208,67,31,34,21,21,43,0,810,810,49,653
144,1,32,43,362,68,31,62,34,43,87,0,1200,1200,73,876
144,1,64,47,745,70,31,120,65,87,175,0,2156,2174,132,969
144,1,128,75,1481,128,50,235,127,175,350,0,4192,4292,261,980
288,1,8,44,110,66,31,20,11,10,21,0,564,564,34,470
288,1,16,44,208,67,31,33,18,21,43,0,802,802,48,666
288,1,32,43,362,68,31,61,33,43,87,0,1196,1196,72,888
288,1,64,47,745,70,31,119,65,87,175,0,2154,2172,132,969
288,1,128,75,1481,128,50,234,128,175,350,0,4192,4292,261,980
16,2,16,32,111,35,31,278,145,5,5,5,1274,1274,77,207
16,2,32,31,202,36,31,278,145,5,5,5,1456,1456,88,363
24,2,8,32,61,35,31,176,101,5,5,5,882,882,53,150
24,2,16,32,111,35,31,176,102,5,5,5,984,984,60,266
24,2,32,31,202,36,31,176,102,5,10,5,1166,1166,71,450
24,2,64,32,385,38,31,176,102,10,21,5,1538,1538,93,688
32,2,8,32,61,35,31,141,76,5,5,5,762,762,46,173
32,2,16,32,111,35,31,141,76,5,8,5,862,862,52,307
32,2,32,31,202,36,31,142,76,8,16,5,1046,1046,63,507
32,2,64,32,385,38,31,142,76,16,32,5,1418,1418,86,744
48,2,8,32,61,35,31,96,52,5,6,5,624,624,38,210
48,2,16,32,111,35,31,96,52,6,13,5,724,724,44,363
48,2,32,31,202,36,31,96,52,13,27,5,906,906,55,581
48,2,64,32,385,38,31,96,53,27,54,5,1280,1280,78,820
48,2,128,49,743,68,50,178,92,54,109,9,2378,2378,145,882
